body,headline,provider,publishDate
"<p class=""first"">面臨背水一戰的Lamigo桃猿，今天(24日)再有英雄跳出，蘭斯佛(Jared Lansford)中繼5局失1分(非自責)，助桃猿5比4險勝中信兄弟，將系列賽扳成3勝3敗，明天雙方將進行殊死第7戰。</p><p>桃猿下午4點才宣布先發投手為瓦德茲(Cesar Valdez)，但他前3局都失分，首局張正偉敲出二壘打再回來得分，2局上蔣智賢、許基宏揮出安打再下一城，3局上張正偉、彭政閔先後安打再添1分。</p><p>而桃猿面對今天生日的兄弟先發投手伍鐸(Bryan Woodall)也不手軟，2局下林泓育選到保送率先上壘，王柏融、余德龍相繼安打敲回2分，4局下林泓育、郭嚴文連續安打，王柏融掃出二壘安打一棒逆轉比分。</p><p>7局下，詹智堯率先敲出安打上壘，林智勝隨後觸擊推進，這也是他首次在總冠軍賽短打，林泓育補上二壘安打再添1分。</p><p>瓦德茲僅投2.2局失3分退場，蘭斯佛接手連續演出13上13下，直到8局上才被代打陳子豪敲出安打，張正偉靠野手選擇上壘，2出局後周思齊揮出安打，隨後彭政閔打擊造成桃猿游擊手郭嚴文失誤，兄弟攻佔滿壘，桃猿決定換上明星(Pat Misch)，結果保送蔣智賢掉1分，但三振許基宏解除危機。</p><p>蘭斯佛中繼5局失1分(非自責)，獲得單場MVP，他在2局下就開始準備，他提到，過去有過擔任牛棚投手的經驗，重點就是上去不要保送，控制在讓球隊有贏的機會，他也稱讚今天跟劉時豪搭配有默契。</p><p>桃猿總教練洪一中也提到，今天贏球關鍵是蘭斯佛，今天賽前掙扎用誰先發，「蘭斯佛對戰成績較好，但只休3天，瓦德茲則是休5天，所以決定讓瓦德茲先上。」洪總也說，有先跟3洋投討論過，告訴他們有狀況就會換人，明星也在上場規劃中。</p><p>兄弟總教練吳復連提到，蘭斯佛此戰速度不錯，「今天大家都盡力了，第8局攻勢很可惜，功虧一簣。」</p><p>雙方都沒公布第7戰先發投手，洪總指出，除了蘭斯佛、王溢正外，都有可能先發，可能採取車輪戰；吳總則說，要看投手狀況，明天中午才會決定。</p>",〈CPBL總冠軍賽〉蘭斯佛神救猿 象猿決勝第7戰,TSNA,2015-10-24T13:48:48Z
"<p class=""first"">Lamigo桃猿「柏融大王」王柏融今天(24日)再展超級新人價值，單場3支2、2打點，包括敲出逆轉戰局的安打，在總冠軍系列賽已經敲出13支安打追平聯盟紀錄，明天有機會改寫歷史。</p><p>王柏融本季出賽29場，敲出36支安打，包括9支全壘打，打擊率3成24，是今年新人王熱門人選之一，他在總冠軍賽首戰第2打席就開轟，是桃猿隊史第1人、聯盟第9人。</p><p>王柏融表現不止於此，他今天單場再貢獻2安打，其中4局下，在一、二壘有人局面，掃出左外野二壘安打，一棒掃回2分，幫助桃猿逆轉，相當關鍵，上到二壘還比出「昇龍拳」手勢，其實他季末打擊狀況有些下滑，總冠軍賽再回溫，他說，當時並非對戰打不好，是自己節奏沒掌握好。</p><p>王柏融前兩打席都揮出安打，第4打席還獲得對手敬遠，這也是他生涯首次被故意四壞，他坦言，有嚇一跳，而以新人之姿就能追平紀錄，他則說，自己沒想太多，大家全力以赴，盡力就好。</p><p>王柏融在總冠軍賽至今打擊率累計5成20，是桃猿打擊率最高的球員，他指出，今天回到桃園主場比賽球迷很多，「感覺很爽，都是自己人。」</p><p>桃猿成功將戰線拉至第7場，球團也宣布，明天預售票2萬張已全部售罄，繼今天後再度滿場，桃猿也準備彩帶2萬條，香檳、啤酒合計300箱準備封王慶祝。</p>",〈CPBL總冠軍賽〉王柏融逆轉安當英雄 13安平紀錄,TSNA,2015-10-24T14:17:34Z
"<p class=""first"">列為大會頭號種子的台灣網球一哥盧彥勳，今天(24日)在寧波挑戰賽男單4強戰交手德國選手Peter Gojowczyk，兩人在相隔3年後又在同地碰頭，這次盧彥勳以7比6(3)、6比3勝出闖進冠軍賽，距離今年男單首冠只差一步。</p><p>盧彥勳本週在總獎金12.5萬美元的寧波挑戰賽取得3連勝晉級準決賽，今天和賽會第7種子Gojowczyk爭取決賽門票。兩人3年前曾在同地於8強賽交手，但盧彥勳因傷退賽，讓Gojowczyk續闖奪冠，過去對戰成績2勝1負。</p><p>今天再度交鋒，盧彥勳在首盤率先破發，但第10局也被對手破了發球局後，兩人鏖戰到搶七，並由盧彥勳先搶下第1盤勝利。進入次盤後，盧彥勳雖然被逼出6次破發點，但都力保不失，同時靠著第6局的成功破發，在耗時1小時31分鐘後，以直落二擊敗對手，4戰一盤未失闖進冠軍戰。</p><p>盧彥勳在決賽的對手將是賽事第7種子、目前世界排名161的愛沙尼亞選手Jurgen Zopp。2011年寧波挑戰賽的男單冠軍賽就是由兩人對壘，當年由盧彥勳以3盤掃下Zopp奪冠，而相隔4年後再度在此碰頭，盧彥勳也要力拚今年個人的第1的男單頭銜。</p>",〈寧波挑戰賽〉盧彥勳一盤未失闖決賽 力拚今年首冠,TSNA,2015-10-24T14:24:57Z
"<p class=""first"">不習慣體育班的生活方式，張浩颺離開HBL名校南山高中，重考進成功高中；但對甲級舞台還有夢，今年，高三的他和隊友們一同成為104學年HBL資格賽的新面孔，編織3年的籃球夢總算實現。</p><p> </p><p>出自金華國中的張浩颺，同期隊友是旅美的吳永盛、助泰山高中闖進隊史首度冠軍戰的張峻庭、南山孫永成等，國中畢業的他也曾是南山一員，直到高一下，才決定展開另條旅程。</p><p><span class=""yom-figure yom-fig-middle"" style=""width:630px;""><img alt="""" class="""" src=""https://s3.yimg.com/bt/api/res/1.2/SoG4vAZ5FrN4xsflfp.nYw--/YXBwaWQ9eW5ld3NfbGVnbztxPTg1O3c9NjMw/http://media.zenfs.com/zh-Hant-TW/homerun/basket.rubbit/30af3a21cb8460ff3c1a8b078c5f0036"" title="""" width=""630""/><span class=""legend""></span></span></p><p>他自己準備功課，順利考上成功高中籃球隊，隔年小2歲的弟弟張浩昊成隊友，譜下今年兄弟攜手闖盪甲級佳話。</p><p>升學名校挑戰HBL甲級，成功讓104學年HBL資格賽多了話題，當4場比賽下來戰績是3勝1敗，這支球隊，真的展現出「墨水」。</p><p>成功是台北市前3志願，有籃球隊不是新聞，101學年乙級聯賽還闖進冠軍戰。沒有體育班的成功，還有招收排球、田徑、桌球和游泳體資生，排球隊還是前年的乙級冠軍隊。</p><p>各運動代表隊的球員，分散在各班中，課業壓力自然大，但和同學的互動、讀書風氣卻能互相感染，國中3年到南山高中1年都就讀體育班的隊長張浩颺就笑說，自己成績雖是後段班，但不怕有問題無法解惑，「要問什麼，前後左右都能給答案。」</p><p>但他仍懷念甲級舞台，「不得不說，看到國中隊友都在甲組，我高一開始就很活躍，看了也會羨慕，真的很想打，手會癢。」</p><p>今年9月，教頭蔡君豪讓17名球員表決，挑戰甲級或留在乙級，他和大部分球員都舉起手。</p><p>張家兄弟的媽媽劉鳳蘋笑說，知道成功要報名甲級時，驚訝沒少過，「小孩子去成功，就是要念書的，快樂打球就好，但我和教練說，尊重你和兒子的決定。」</p><p>9月21日開始，成功展開留校住宿的集訓之旅，以韻律教室和重訓室當臥室，每天晨操完才上課；晚上練完球，9點11點就是讀書時間。</p><p>「準碩士」蔡君豪 是92學年助新化高工留下HBL甲級第七名班底，走過同樣的路，他自身就是活教材，「打球累，但時間控管好，還是可以讀書。」</p><p>高二的張浩昊也說，國中體育班一直打球，高中進成功變課業為重，有過適應期，「不過讀書很開心，同學也會一起讀。」哥哥有甲級夢，他全力支持，就算晨操完上課難免小打瞌睡，都成全隊一起盡力的美麗回憶。</p><p><span class=""yom-figure yom-fig-middle"" style=""width:630px;""><img alt="""" class="""" src=""https://s3.yimg.com/bt/api/res/1.2/FxF0oHNwDBqa5Ki09TCuVg--/YXBwaWQ9eW5ld3NfbGVnbztxPTg1O3c9NjMw/http://media.zenfs.com/zh-Hant-TW/homerun/basket.rubbit/b21969034d1801594ad3f64dfb875439"" title="""" width=""630""/><span class=""legend""></span></span></p><p>不只學業風氣盛，穿著白校服的成功學生資格賽把台北體育館塞滿，一同見證校史首次的HBL甲級之旅；今天遇到假日，白色校服少了，自發到場的同學和校友仍將體育館化身自家主場。</p><p>因為籃球而凝聚的榮譽旅程，今年會走到哪一步，還是未知，明年是否續寫，更不能保證，但像教頭蔡君豪所說，「態度遠比一切重要」，心態對了，沒有什麼不可能。</p>",成功的圓夢旅程,羅比特,2015-10-24T09:21:48Z
"<p class=""first"">2015富邦LPGA今天(24日)進入第3輪賽事，前2天都獨居領先的韓國池恩熹今天只繳出平標準桿表現，遭到韓裔紐西蘭籍好手高寶璟的超車，高寶璟在第3回合抓下8隻小鳥、吞了1柏忌和1雙柏忌，單回合打出67桿，不僅躍居首位，同時總桿數203桿也和池恩熹拉開4桿差距。</p><p>高寶璟首輪繳出69桿，第2回合表現加溫，以67桿成績竄上第2，而今天雖在第5洞因開球出狀況而吞了雙柏忌，但進入後9洞表現非常精彩，沒有吞下柏忌，並射下5隻小鳥，其中在第11洞直接在果嶺上將球切進洞，連續2天都繳出低於標準桿5桿表現，3回合總桿數低於標準桿13桿。</p><p>至於前2輪領先的池恩熹今天沒能維持高檔表現，今天博蒂、柏忌各2記，成績維持平盤，因此3回合207桿(-9)也落到獨居第2；第3輪打出71桿的英格蘭選手Charley Hull則以1桿之差緊追在後。</p><p>高寶璟在前3輪打完已拉開4桿領先，奪冠希望濃厚，同時拿到冠軍或獨居第2都能確定重回世界球后寶座，對此她提到：「對我來說，明天贏得這場比賽比拿到世界第1還重要，比較希望能拿到冠軍，世界第1則會是附加的好事。」</p><p>2013年在於台灣舉行的裙襬搖搖世界女子高球名人賽拿到職業生涯首冠，這次有機會再於寶島挑戰個人第10座大賽冠軍，她也感謝台灣球迷的熱情支持，「今天下雨，這裡(球場)也離市區很遠，但大家還是願意來球場看我們打球，球迷真的很非常棒。」</p>",〈LPGA台灣賽〉高寶璟第3輪超車 4桿之差獨走,TSNA,2015-10-24T13:24:34Z
"<p class=""first"">儘管沒有如同國聯冠軍賽最有價值球員（MVP）Daniel Murphy一般璀璨的表現，但Alcides Escobar依舊以系列賽6戰打擊率.478的成績，幫助堪薩斯皇家在美聯冠軍戰中勝出，他也獲選為美聯冠軍賽MVP。</p><p>「就好像美夢成真。」Escobar賽後開心地笑著說：「我從沒有想過會在季後賽獲選為MVP，很感謝這個系列賽我的各方面表現都很順利，也很感謝他們給我這個MVP獎。」</p><p>Escobar在6場比賽23打數中擊出11安打，繳出.478/.481/.652（打擊率/上壘率/長打率）成績，場場都擊出安打，一共打下5分打點，例行賽快結束時才開始擔任開路先鋒的他也跑回6分。</p><p>最終Escobar加入Frank White（1980）、George Brett（1985）與隊友Lorenzo Cain（2014）的行列，成為皇家隊史第4位聯盟冠軍賽最有價值球員。皇家總教練Ned Yost表示：「他今年獲選為MVP，對我來說是非常滿足的事。我一直都知道他在這樣的舞台會是有MVP表現的球員。」</p><p>談到Escobar的表現，皇家總經理Dayton Moore說：「他是充滿活力的球員，他喜歡打球，也非常有天分。他能以許多方式擊敗你，每次比賽他都很專注，真的能夠帶領球隊獲勝。」</p>",〈MLB〉獲美聯冠軍賽MVP Escobar美夢成真,TSNA,2015-10-24T08:44:23Z
"<p class=""first"">記者張耀中／桃園報導</p><p>總冠軍賽第5戰陳金鋒上場代打，全場象迷倒戈高喊「陳金鋒！陳金鋒！」，當時的投手羅國華今天(24日)回憶，笑說自己被孤立了。</p><p>當時第9局Lamigo桃猿換上陳金鋒代打，洲際球場滿場象迷放下對立，大聲高喊陳金鋒的名字。</p><p>中信兄弟投手羅國華，面對陳金鋒最後投出四壞球保送，今天第6戰賽前他說：「我也想投進去給他打，如果他能打出好的結果，我也會替他開心。」</p><p>談到全場象迷倒戈，羅國華笑說：「我有種被孤立的感覺，不過確實陳金鋒站上打擊區，投手的氣勢就會感覺比較弱。」</p><p>陳金鋒第5戰代打影片：https://youtu.be/KXdCS-ti_p4</p>",中華職棒／象迷倒戈喊陳金鋒 羅國華笑：被孤立了,NOWnews,2015-10-24T08:41:06Z
"<p class=""first"">富邦LPGA台灣錦標賽今天(24日)進行第3回合，前2輪打完並列第32的台灣好手曾雅妮，雖然自認狀況都比前2天更好，但下場後成績卻更不理想，單回合打出76桿(+4)，3回合打完以221桿並列第49。背負龐大的壓力，曾雅妮賽後談起自己的表現也忍不住激動落淚。</p><p>曾雅妮前兩回合打出高於標準桿1桿成績，今天在第3回合抓了3鳥、吞下3柏忌，而第5洞發生開球失誤、前2天都抓鳥的第18洞今天則在第2桿將球打下水，第3桿又擊向場邊觀眾，吞下2記雙柏忌，3回合成績高於標準桿5桿，排名再往後退。</p><p>曾雅妮提到，自己今天在各方面感覺都不錯，但成績卻很差，即使一改昨天以守為主的打法，但表現不僅受到間歇性的風勢影響，果嶺因下雨，速度也比她預期中更慢，「今天比較敢推，推桿也比較有感覺，但自己沒有掌握好。」</p><p>帶著3天來最佳手感，但成績卻大不如預期，曾雅妮繳卡後也難掩失望之情，而對於自己今天的狀況，她說著說著也掩不住情緒，難過得落下淚來，「說真的，今天是感覺最好的一天，比前2天都順，我覺得今天可以打很好的。」</p><p>打完前3回合，曾雅妮成績高於標準桿5桿，與領先的紐西蘭天才少女高寶璟已拉開18桿差距。</p>",〈LPGA台灣賽〉狀況佳成績卻更差 曾雅妮哭了,TSNA,2015-10-24T08:34:39Z
"<p class=""first"">台灣羽球好手戴資穎在總獎金27萬5千美元的法國超級系列賽8強戰，總算一圓擊敗中國宿敵李雪芮的夢，終以22比20、21比14直落2摘下4強門票，中斷2人生涯對戰10連敗。</p><p>戴資穎目前世界排名第4，前10次對上前球后李雪芮都鍛羽而歸，但回到4年前2人首度碰頭的法國羽超戰場，「小戴」總算扳回一城，她賽後感性地在臉書上感謝球迷，「不管是參與了我幾次輸球的#‎穎迷‬，我很高興有你們陪我贏了這一次！」</p><p>戴資穎坦言，在這10次輸球之中，有很多的問題，甚至自己的想法、心態、球技，「說不怕一直這樣輸下去，是騙人的！重建自己的信心固然很重要，也因為我有你們，我才能再一次次輸球之後重生！謝謝你們的陪伴。」</p><p>戴資穎下役將挑戰世界第1的西班牙好手Carolina Marin，雙方生涯對決3次，戴資穎以1勝2負處於下風。戴資穎表示：「重建心態，並且相信自己做得到，需要時間！每個不同的階段會遇到的問題不同，希望有遇到困難的人，也能夠一一突破！請你們明天繼續為我加油。」</p><p>男單部分，世界排名第5、大會第6種子的台將周天成則以21比13、15比21、21比10拍落香港球員伍家朗，將與世界排名第2的丹麥名將Jan O Jorgensen爭決賽門票，持續朝衛冕邁進。</p>",〈羽球〉戴資穎首勝李雪芮 中止對戰10連敗,TSNA,2015-10-24T08:39:56Z
"<p class=""first"">經過2008年金融海嘯的大災難，人們早已認為冰島沒可救藥，由冰溶化成水，甚至水蒸氣，由全國最大銀行被接管到國家破產，外債一度接近1400億美元，相於全國生產總值的7倍…7年過去，國家回過神來，足球隊連續爆冷，打完歐洲盃資格賽8輪之後，決定聯手捷克率先在A組出線，歷史性殺入大賽決賽周！由水蒸氣變回水，再重新凝固成冰塊，比之前變得更堅硬、更實淨，印證老掉牙的人生道理，世事沒有不可能。</p><p>在歐洲盃決賽圈來臨前，我們不妨先去了解一下冰島。位於歐洲北部的冰島，全國人口約32萬人，屬於全歐密度最小的國家，最大城市是首都雷克雅未克，佔總人口的三分之二，追典溯古，祖先是維京人，與挪威同屬一個種族。</p><p>被譽為「冰島球王」的古德約翰松(Eiður Guðjohnsen)曾經效力切爾西和巴薩，大賽經驗豐富，但今年已經36歲，目前為中甲球隊石家莊永昌比賽。數到目前陣中靈魂人物，實非斯旺西中場Gylfi Þór Sigurðsson莫屬，同時被列入冰島「黃金一代」的名單，與查爾頓翼鋒Jóhann BergGuðmundsson，由皇家社會租借至奧林匹亞科斯的前鋒Alfreð Finnbogason和南特射手Kolbeinn Sigþórsson，組成強大的攻擊線。</p><p>英超球迷必定認識的古德約翰松，目前仍然入選國家隊，哪怕不再是必然正選，留在隊中儼如精神支柱，不經不覺為國家隊服務19年，仍未言退，並以25球成為歷史「冰」上進球王，更有趣的是，他的國際賽之旅首站，就是換入父親Arnór Guðjohnsen，果然是虎父無犬子的最佳寫照。</p><p>由於國內聯賽水平不高，目前仍是半職業制度，因此，冰島採取大部份小國的「放洋」政策，大量輸出球員，目前約100名足球員散落五湖四海，而歐洲盃預選賽的國腳當中，就有來自荷蘭、挪威、瑞典、希臘、英超、中超、中甲、德甲、土超、瑞士超、法甲等聯賽，絕對雲集了全世界足球之大成。</p><p>執筆時，冰島的世界排名創下新高，升至第23位，近4年來，排名更飆升了超過100位，就算人們覺得國際足聯的計分方法問題多多，但如此巨大的進步，仍然值得嘉許。</p><p>不得不提，冰島足球突如其來進擊歐洲大陸，背後功臣之一是前瑞典國家隊總教練拉格貝克(Lars Lagerbäck)。年屆67歲的拉格貝克非常熟識北歐足球的長處，總共帶領瑞典連續5屆殺進大賽決賽圈，自從2011年接掌球隊，與冰島的上升軌跡如出一轍，實在不得不佩服老人家的功力。</p><p>冰島的防守穩健，頭8輪只失3球，兩次面對荷蘭分別贏2:1和1:0，顯然不是單靠走運就能夠出線。最後，冰島的狂熱球迷是國家隊前進的驅動力，全國約4.2%人口是長期足球迷，在歐洲排名第2位，這隊冰上大軍已經整裝待發，隨時向歐洲國家盃出發！</p><p>SWQE�^�m�</p>",你不知道的冰島已經重新凝固,迪比派路,2015-10-24T07:38:41Z
<p>同時還宣佈科蘭傑洛（Jerry Colangelo）在2017-20年期間繼續擔任球隊主席一職，老K教練在2016年里約奧運會之後將以特別顧問續留球隊。</p><p>波波維奇擔任馬刺總教練19年，他是NBA甚至美國所有體</p><p>育大聯盟中，在同一支球隊任職時間最長的現役教練，5次帶隊贏得總冠軍、3次贏得年度最佳教練獎項。</p><p>在此之前，他也曾作為美國隊的助理教練，戰績為29勝7負，贏得1枚銅牌。</p><p>「對於能獲得美國男籃總教練的機會，我感到非常的榮幸。」波波維奇說，「在過去的10年裡，美國男籃在科蘭傑洛和K教練的帶領下，取得了讓人印象非常深刻的成績，我也將傾盡自己的所能，盡最大努力保持住傑裡和老K以及眾多出色的球員，為美國男籃取得高標準和高成就。」</p><p>波波維奇如果帶領美國隊順利獲得參賽名額，將征戰2019年的男籃世界盃、以及2020年的日本東京奧運會。</p>,NBA》2017-20年　馬刺主帥波波維奇掌美國男籃隊兵符,麗台運動報,2015-10-24T03:35:06Z
"<p class=""first"">堪薩斯皇家今天（24日）在風雨中撐過驚濤駭浪，靠著8局下Lorenzo Cain展現的快腿攻下致勝分，與終結者Wade Davis抓下5個出局數守住多倫多藍鳥反撲，連續2年奪下美聯冠軍闖進世界大賽。</p><p>儘管一路上遇到不少風波，加上今天8局上丟掉2分領先，但皇家並未放棄，在因雨暫停45分鐘後，他們重回球場攻下致勝分，並守住藍鳥最後半局無人出局攻佔一、三壘的反撲，完成了他們的目標。Cain說：「賽前我們只有1個目標，那就是重返世界大賽。」</p><p>雖然連2年闖進世界大賽，但2年心境大不相同。皇家總教練Ned Yost表示，相較於去年的黑馬姿態：「今年從春訓的第1天起，我們就預期會來到這裡。球員們整個球季都有很棒的表現，就算面臨困境他們也從不放棄，持續奮戰，讓我今天能戴上這頂有世界大賽字樣的新帽子。」</p><p>此役皇家靠著Ben Zobrist與Mike Moustakas分別在前2局從藍鳥先發投手David Price手中轟出的陽春砲取得領先，但4局上轟出陽春砲的藍鳥Jose Bautista，8局上再轟出追平比數的2分砲，瞬間氣勢似乎逆轉。</p><p>不過經過45分鐘的因雨暫停後，8局下開局Cain就選到四壞上壘，並趁著Eric Hosmer擊出的右外野平飛安打，從一壘直奔本壘攻下致勝分。這球Bautista雖然很快就回傳，但他選擇傳往二壘而非轉傳本壘，讓全速衝刺的Cain成為英雄。</p><p>「我覺得我攔截得夠快，如果傳到二壘的話，可以阻止他（Hosmer）上二壘，也阻止Cain得分。」Bautista說：「但是我錯了。」</p><p>這個過程中，皇家三壘指導教練Mike Jirschele也不斷揮手要Cain不要停下腳步持續前進，賽後Jirschele表示這不是冒險，因為整個系列賽他看到Bautista在這種情況下通常都往二壘傳。</p><p>隨後登場的是另1位皇家英雄Davis，他8局上1出局一壘有人雙方平手時就提前登場救火，9局上雖然開局就被Russell Martin擊出安打，又對Kevin Pillar投出四壞保送，還讓代跑Martin的Dalton Pompey連盜2壘，但面臨無人出局一、三壘有人危機，Davis還是連續三振Dioner Navarro與Ben Revere，最終讓Josh Donaldson擊出三壘滾地出局，為皇家拿下這場比賽的勝利。</p><p>談到最後連抓3個出局數化解危機，Davis說：「那個時候無人出局三壘有人，已經是可能出現的最糟糕的情況，我只希望能有神奇的表現，脫離困境。」</p><p>最終皇家就此完成連2年闖進世界大賽的目標，接下來將要對決國聯冠軍紐約大都會，這個7戰4勝制的系列賽，皇家擁有主場優勢，首戰將在台灣時間28日上午8時於皇家主場開打。</p>",〈MLB〉再闖世界大賽 皇家心境不同,TSNA,2015-10-24T07:03:22Z
"<p class=""first"">中華職棒26年總冠軍賽第六戰 ，中信兄弟一開局就展現強攻氣勢 ，前兩個半局各得一分，取得領先局面 </p><p>不過 二局下余德龍中間方向的穿越安打 ，馬上將比數追平 。</p><p>比賽來到第三局，中信兄弟雖然靠著恰恰彭政閔的安打再添一分 ，不過桃猿隊馬上當機立斷，將蘭斯佛推上場，蘭斯佛不僅解決得點圈有人的危機，也成功帶動打者逆轉局面，四局下 王柏融一棒清光壘上2名跑者 ，幫助Lamigo桃猿將比數超前 ，取得4比3的領先 。</p><p>八局中信兄弟攻佔滿壘，中繼五局的蘭斯佛退場，桃猿隊換上休息兩天的明星 ，雖然在兩人出局滿壘的情況下，保送了蔣智賢失掉一分，不過明星接下來對上許基宏 ，投出了關鍵的三振 。</p><p>九局再推出守護神林柏佑接替投球，終場LAMIGO桃猿 就以5比4擊敗中信兄弟，系列賽再度追平，兩隊將在明天一決勝負。</p>",【翊起運動】中職冠軍賽G6 Lamigo勝 G7大決戰,翊起運動Vamos Sports,2015-10-25T00:39:44Z
